episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map1545220601-target503597500-obs2120160876-g2-T3,8,1545220601,503597500,2120160876,702167616,8,13,5.0,2,3,125,10,14,False,50,160.5,0,21,5217.435600000001,8,0,14.142135623730951
map1545220601-target503597500-obs2120160876-g5-T1,8,1545220601,503597500,2120160876,702167616,8,13,5.0,5,1,5,10,14,True,1,1.0,0,0,10.3719,8,13,2.23606797749979
map1545220601-target503597500-obs2120160876-g5-T2,8,1545220601,503597500,2120160876,702167616,8,13,5.0,5,2,25,10,14,True,2,2.0,0,0,35.9231,8,14,2.0
map1545220601-target503597500-obs2120160876-g5-T3,8,1545220601,503597500,2120160876,702167616,8,13,5.0,5,3,125,10,14,True,2,2.0,0,0,1449.4011,8,14,2.0
map1545220601-target503597500-obs2120160876-g10-T1,8,1545220601,503597500,2120160876,702167616,8,13,5.0,10,1,5,10,14,True,1,1.0,0,0,52.7985,8,13,2.23606797749979
map1545220601-target503597500-obs2120160876-g10-T2,8,1545220601,503597500,2120160876,702167616,8,13,5.0,10,2,25,10,14,True,1,1.0,0,0,73.72309999999999,8,13,2.23606797749979
map1545220601-target503597500-obs2120160876-g10-T3,8,1545220601,503597500,2120160876,702167616,8,13,5.0,10,3,125,10,14,True,1,1.0,0,0,896.1659,8,13,2.23606797749979
map1545220601-target503597500-obs2120160876-g20-T1,8,1545220601,503597500,2120160876,702167616,8,13,5.0,20,1,5,10,14,True,1,1.0,0,0,272.6417,8,13,2.23606797749979
map1545220601-target503597500-obs2120160876-g20-T2,8,1545220601,503597500,2120160876,702167616,8,13,5.0,20,2,25,10,14,True,1,1.0,0,0,394.9849,8,13,2.23606797749979
map1545220601-target503597500-obs2120160876-g20-T3,8,1545220601,503597500,2120160876,702167616,8,13,5.0,20,3,125,10,14,True,1,1.0,0,0,613.2709,8,13,2.23606797749979
map905266064-target2063827471-obs615935265-g2-T1,9,905266064,2063827471,615935265,1868845934,1,5,5.0,2,1,5,18,11,False,50,168.5,0,37,331.05370000000005,5,0,17.029386365926403
map905266064-target2063827471-obs615935265-g2-T2,9,905266064,2063827471,615935265,1868845934,1,5,5.0,2,2,25,18,11,False,50,150.0,0,0,713.8805,12,4,9.219544457292887
map905266064-target2063827471-obs615935265-g2-T3,9,905266064,2063827471,615935265,1868845934,1,5,5.0,2,3,125,18,11,False,50,150.0,0,0,5197.649900000001,12,4,9.219544457292887
map905266064-target2063827471-obs615935265-g5-T1,9,905266064,2063827471,615935265,1868845934,1,5,5.0,5,1,5,18,11,False,50,150.0,0,0,790.7114,7,17,12.529964086141668
map905266064-target2063827471-obs615935265-g5-T2,9,905266064,2063827471,615935265,1868845934,1,5,5.0,5,2,25,18,11,False,50,155.0,1,0,1115.4533999999996,11,4,9.899494936611665
map905266064-target2063827471-obs615935265-g5-T3,9,905266064,2063827471,615935265,1868845934,1,5,5.0,5,3,125,18,11,True,29,34.0,1,0,19977.7681,15,14,4.242640687119285
map905266064-target2063827471-obs615935265-g10-T1,9,905266064,2063827471,615935265,1868845934,1,5,5.0,10,1,5,18,11,True,39,59.0,4,0,1971.5365999999997,17,15,4.123105625617661
map905266064-target2063827471-obs615935265-g10-T2,9,905266064,2063827471,615935265,1868845934,1,5,5.0,10,2,25,18,11,True,25,25.0,0,0,1774.8414000000002,15,15,5.0
map905266064-target2063827471-obs615935265-g10-T3,9,905266064,2063827471,615935265,1868845934,1,5,5.0,10,3,125,18,11,True,25,25.0,0,0,22813.912300000004,15,15,5.0
map905266064-target2063827471-obs615935265-g20-T1,9,905266064,2063827471,615935265,1868845934,1,5,5.0,20,1,5,18,11,True,27,37.0,2,0,7656.6036,14,14,5.0
map905266064-target2063827471-obs615935265-g20-T2,9,905266064,2063827471,615935265,1868845934,1,5,5.0,20,2,25,18,11,True,25,25.0,0,0,9285.660000000002,15,15,5.0
map905266064-target2063827471-obs615935265-g20-T3,9,905266064,2063827471,615935265,1868845934,1,5,5.0,20,3,125,18,11,True,25,25.0,0,0,14204.561499999998,15,15,5.0
map1667601611-target566977183-obs445993290-g2-T1,10,1667601611,566977183,445993290,2052998037,7,8,7.0,2,1,5,19,12,False,50,150.0,0,0,320.963,13,4,10.0
map1667601611-target566977183-obs445993290-g2-T2,10,1667601611,566977183,445993290,2052998037,7,8,7.0,2,2,25,19,12,False,50,150.0,0,0,687.8889,13,4,10.0
map1667601611-target566977183-obs445993290-g2-T3,10,1667601611,566977183,445993290,2052998037,7,8,7.0,2,3,125,19,12,False,50,150.0,0,0,5193.6257000000005,13,4,10.0
map1667601611-target566977183-obs445993290-g5-T1,10,1667601611,566977183,445993290,2052998037,7,8,7.0,5,1,5,19,12,False,50,155.0,1,0,861.8292,9,11,10.04987562112089
map1667601611-target566977183-obs445993290-g5-T2,10,1667601611,566977183,445993290,2052998037,7,8,7.0,5,2,25,19,12,True,14,19.0,1,0,314.65009999999995,14,13,5.0990195135927845
map1667601611-target566977183-obs445993290-g5-T3,10,1667601611,566977183,445993290,2052998037,7,8,7.0,5,3,125,19,12,True,14,19.0,1,0,9383.403799999998,14,13,5.0990195135927845
map1667601611-target566977183-obs445993290-g10-T1,10,1667601611,566977183,445993290,2052998037,7,8,7.0,10,1,5,19,12,True,13,13.0,0,0,768.2299999999999,14,13,5.0990195135927845
